序号	提交答卷时间	所用时间	来源	来源详情	来自IP	1、您的性别	2、?您认为大学生的心理健康是否应该引起重视，请选择一个符合的选项	3、?您对心理健康知识了解多少，请选择一个符合的选项	4、您了解心理健康的途径是什么，请勾选所有符合的选项（多选题）	5、你总有明确的生活目标并在为之不懈奋斗吗？	6、如果在学习过程中出现学习效率低下、压力过大的状况，你会觉得心烦气躁吗？	7、?在考试考证前，您是否对自己信心不足，情绪烦躁，看过书本但记住很少请选择一个符合的选项	8、你认为压力在你的学习生活中有什么作用？	9、?您生活的压力主要来自，请勾选所有符合的选项（多选题）	10、?你觉得自己的心理承受能力强吗，请选择一个符合的选项	11、?您和周围认识的人是否闹过矛盾，请选择一个符合的选项	12、您是否经常跟家人朋友交流感情，聊天谈笑请选择一个符合的选项	13、?您是否曾因同学间的攀比而产生困扰，请选择一个符合的选项	14、?当情绪低落时，您如何调节，请勾选所有符合的选项（多选题）	15、你如何看待在校大学生自杀事件，请勾选所有符合的选项（多选题）	16、?你的大学恋爱观是怎样？请选择一个符合的选项	17、大学毕业之后你对未来的选择是？	18、?面对如此严峻的就业形势你会有所担忧，请选择一个符合的选项	19、?请问您觉得学校可以如何去进行心理健康教育，请勾选所有符合的选项（多选题）	20、?如果有一场心理讲座，你希望主题是什么请选择一个符合的选项	21、 目前，你急需解决的心理问题是什么？你希望以什么方式获得帮助
11	2021/5/25 19:08:32	146秒	微信	N/A	223.104.103.7(河北-保定)	女	必须重视	了解一点	浏览网页┋阅读书刊┋听讲座	不知道	有时会	是	较为负面影响，会影响情绪	学习压力┋家庭问题┋考试考证	一般	很少	偶尔	较少	参加户外活动转移注意力┋一个人生闷气	以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	会有所担忧	设立心理咨询室┋网络心理咨询	情绪调节	疏解压力
12	2021/5/25 19:29:19	176秒	微信	N/A	221.192.180.75(河北-秦皇岛)	男	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影┋其他	有	有时会	否	正面影响，会为学习带来动力	学习压力┋感情压力┋人际关系┋经济问题┋考试考证┋就业压力	一般	很少	偶尔	没有	参加户外活动转移注意力┋找人倾述	压力过大，能够理解	人生大事，应该用心经营，从一而终	考研	会有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询	如何和他人交往	感情问题          脱单
13	2021/5/25 19:29:46	90秒	微信	N/A	112.224.151.131(山东-未知)	男	必须重视	一点也不了解	浏览网页	没有	经常会	是	较为负面影响，会影响情绪	学习压力	很弱	偶尔	经常	有时	无法排解低落情绪	压力过大，能够理解	一种美好的经历，帮助我成长	就业	会有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	情绪调节	(空)
14	2021/5/25 19:43:17	109秒	微信	N/A	117.136.2.205(河北-保定)	男	必须重视	了解很少	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影┋其他	不知道	有时会	否	没感觉	学习压力┋感情压力┋人际关系┋家庭问题┋经济问题┋考试考证┋就业压力┋其他	一般	很少	经常	较少	参加户外活动转移注意力┋倒头大睡，不去想任何事情┋找人倾述	对引发事件发生的社会原因和学校的责任非常慷慨┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	会有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	如何和他人交往	讲座
15	2021/5/25 19:49:01	27秒	微信	N/A	27.128.57.41(河北-石家庄)	男	必须重视	了解很多	浏览网页┋阅读书刊	有	经常会	是	正面影响，会为学习带来动力	感情压力	很强	经常	经常	经常	参加户外活动转移注意力	压力过大，能够理解	人生大事，应该用心经营，从一而终	就业	会有所担忧	多举行心理讲座	情绪调节	(空)
16	2021/5/25 19:58:42	116秒	微信	N/A	223.104.13.36(河北-石家庄)	女	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋看相关电影	不知道	有时会	是	较为负面影响，会影响情绪	学习压力┋感情压力┋人际关系┋家庭问题┋经济问题┋考试考证┋就业压力	一般	偶尔	偶尔	有时	倒头大睡，不去想任何事情┋一个人生闷气┋找人倾述	压力过大，能够理解┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	还没想过	会有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	情绪调节	(空)
17	2021/5/25 19:58:59	81秒	微信	N/A	39.144.86.92(河北-邯郸)	男	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影	有	经常会	是	较为负面影响，会影响情绪	学习压力┋感情压力┋人际关系┋家庭问题	很强	很少	很少	较少	参加户外活动转移注意力┋通过暴饮暴食发泄不满情绪┋倒头大睡，不去想任何事情	非常鄙视自杀之人，枉费父母和社会的栽培┋以此为鉴，努力疏导自声心理问题	人生大事，应该用心经营，从一而终	考研	会有所担忧	多举行心理讲座	情绪调节	(空)
18	2021/5/25 20:16:49	171秒	微信	N/A	117.136.2.249(河北-保定)	女	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋看相关电影	没有	经常会	否	较为负面影响，会影响情绪	学习压力┋感情压力┋人际关系┋家庭问题┋经济问题┋考试考证	一般	偶尔	很少	有时	参加户外活动转移注意力┋倒头大睡，不去想任何事情┋一个人生闷气┋找人倾述┋无法排解低落情绪	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	考研	会有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	如何和他人交往	(空)
19	2021/5/25 20:18:36	43秒	微信	N/A	111.61.198.171(河北-石家庄)	女	应该重视	了解很多	浏览网页┋听讲座	有	从来不会	是	较为负面影响，会影响情绪	学习压力┋人际关系	一般	偶尔	很少	没有	参加户外活动转移注意力┋倒头大睡，不去想任何事情┋找人倾述	对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自声心理问题	只在乎曾经拥有，不在乎天长地久	还没想过	会有所担忧	设立心理咨询室┋组织团体活动	如何和他人交往	无
20	2021/5/25 20:22:47	335秒	微信	N/A	111.61.198.172(河北-石家庄)	男	必须重视	了解一点	浏览网页┋跟朋友聊天时了解到┋看相关电影	不知道	经常会	是	正面影响，会为学习带来动力	学习压力┋感情压力┋经济问题┋就业压力	一般	很少	很少	没有	一个人生闷气┋无法排解低落情绪	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	充满信心	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	情绪调节	无
21	2021/5/26 7:44:26	199秒	微信	N/A	223.104.103.11(河北-保定)	女	必须重视	了解一点	浏览网页┋阅读书刊	有	经常会	是	较为负面影响，会影响情绪	学习压力┋考试考证	一般	很少	经常	有时	参加户外活动转移注意力┋找人倾述	以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考公务员	会有所担忧	多举行心理讲座┋组织团体活动	情绪调节	无
1	2021/5/25 18:45:20	98秒	手机提交	直接访问	117.136.86.36(陕西-西安)	女	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座	有	有时会	是	较为负面影响，会影响情绪	学习压力┋人际关系┋家庭问题	很强	偶尔	很少	较少	通过暴饮暴食发泄不满情绪┋倒头大睡，不去想任何事情┋找人倾述	压力过大，能够理解┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	只在乎曾经拥有，不在乎天长地久	考研	会有所担忧	设立心理咨询室┋网络心理咨询┋组织团体活动	情绪调节	(空)
2	2021/5/25 18:47:22	114秒	微信	N/A	111.207.109.190(北京-北京)	女	应该重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋看相关电影	没有	比较少	是	正面影响，会为学习带来动力	考试考证	很强	很少	经常	没有	通过暴饮暴食发泄不满情绪┋倒头大睡，不去想任何事情┋找人倾述┋其他:	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	充满信心	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	情绪调节	(空)
3	2021/5/25 18:48:31	21秒	手机提交	直接访问	123.139.176.52(陕西-西安)	女	没有必要	了解一点	阅读书刊┋跟朋友聊天时了解到	没有	比较少	否	较为负面影响，会影响情绪	人际关系┋考试考证	一般	经常	很少	较少	倒头大睡，不去想任何事情┋找人倾述	对引发事件发生的社会原因和学校的责任非常慷慨┋非常鄙视自杀之人，枉费父母和社会的栽培	只在乎曾经拥有，不在乎天长地久	考公务员	充满信心	多举行心理讲座┋组织团体活动	其他:	(空)
4	2021/5/25 18:48:32	75秒	手机提交	直接访问	117.136.87.52(陕西-西安)	男	必须重视	了解很少	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影	不知道	经常会	是	较为负面影响，会影响情绪	学习压力┋感情压力┋人际关系┋经济问题┋考试考证┋就业压力	一般	偶尔	很少	有时	参加户外活动转移注意力┋通过暴饮暴食发泄不满情绪┋倒头大睡，不去想任何事情┋一个人生闷气┋无法排解低落情绪	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋社会应更多得关心大学生生活状况	只在乎曾经拥有，不在乎天长地久	还没想过	会有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	情绪调节	(空)
5	2021/5/25 18:48:42	82秒	手机提交	直接访问	223.104.11.21(陕西-西安)	女	没有必要	了解很多	阅读书刊	没有	经常会	否	没感觉	感情压力	很弱	很少	很少	没有	倒头大睡，不去想任何事情	非常鄙视自杀之人，枉费父母和社会的栽培	只在乎曾经拥有，不在乎天长地久	考研	无所谓，父母早已为自己铺好路	设立心理咨询室	如何处理学习和工作	(空)
6	2021/5/25 18:49:49	108秒	手机提交	直接访问	123.139.72.77(陕西-西安)	男	没有必要	了解一点	浏览网页┋听讲座┋看相关电影	有	有时会	否	没感觉	学习压力┋感情压力┋经济问题	一般	很少	很少	有时	通过暴饮暴食发泄不满情绪┋一个人生闷气	对引发事件发生的社会原因和学校的责任非常慷慨┋非常鄙视自杀之人，枉费父母和社会的栽培	人生大事，应该用心经营，从一而终	考研	会有所担忧	网络心理咨询┋组织团体活动	如何处理学习和工作	无
7	2021/5/25 18:50:53	105秒	手机提交	直接访问	123.139.163.72(陕西-西安)	女	应该重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影	有	有时会	是	正面影响，会为学习带来动力	学习压力┋考试考证	一般	偶尔	经常	没有	参加户外活动转移注意力┋倒头大睡，不去想任何事情┋找人倾述	压力过大，能够理解┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	只在乎曾经拥有，不在乎天长地久	考研	无所谓，父母早已为自己铺好路	设立心理咨询室┋组织团体活动	情绪调节	无
8	2021/5/25 18:52:02	87秒	手机提交	直接访问	113.138.49.54(陕西-西安)	女	应该重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋看相关电影	有	经常会	否	正面影响，会为学习带来动力	学习压力┋考试考证┋就业压力	很强	偶尔	经常	较少	参加户外活动转移注意力┋通过暴饮暴食发泄不满情绪┋一个人生闷气┋找人倾述	对引发事件发生的社会原因和学校的责任非常慷慨┋非常鄙视自杀之人，枉费父母和社会的栽培┋以此为鉴，努力疏导自声心理问题	一种美好的经历，帮助我成长	考研	会有所担忧	设立心理咨询室	如何处理学习和工作	(空)
9	2021/5/25 18:53:29	61秒	手机提交	直接访问	123.139.134.106(陕西-西安)	女	必须重视	了解一点	浏览网页┋阅读书刊┋听讲座┋看相关电影	有	有时会	是	正面影响，会为学习带来动力	学习压力┋经济问题┋考试考证	一般	偶尔	偶尔	有时	倒头大睡，不去想任何事情	以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	考研	会有所担忧	多举行心理讲座┋组织团体活动	情绪调节	无
10	2021/5/25 18:53:43	70秒	手机提交	直接访问	123.139.169.180(陕西-西安)	男	没有必要	了解一点	浏览网页┋阅读书刊┋看相关电影	没有	有时会	是	较为负面影响，会影响情绪	学习压力┋感情压力┋考试考证	一般	偶尔	很少	有时	倒头大睡，不去想任何事情	压力过大，能够理解┋非常鄙视自杀之人，枉费父母和社会的栽培┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	还没想过	会有所担忧	网络心理咨询┋组织团体活动	如何和他人交往	(空)
11	2021/5/25 18:53:48	111秒	手机提交	直接访问	153.3.172.93(江苏-南京)	女	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影	有	有时会	是	正面影响，会为学习带来动力	学习压力┋考试考证┋就业压力	一般	偶尔	经常	有时	参加户外活动转移注意力┋倒头大睡，不去想任何事情┋找人倾述	对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	会有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	情绪调节	无
12	2021/5/25 18:54:20	142秒	手机提交	直接访问	111.114.0.1(陕西-西安)	男	必须重视	了解很少	浏览网页┋跟朋友聊天时了解到┋看相关电影	没有	经常会	是	没感觉	学习压力┋人际关系┋考试考证┋就业压力	一般	偶尔	偶尔	经常	通过暴饮暴食发泄不满情绪┋一个人生闷气┋无法排解低落情绪	压力过大，能够理解	只在乎曾经拥有，不在乎天长地久	考研	会有所担忧	其他:	情绪调节	无
13	2021/5/25 18:54:25	119秒	手机提交	直接访问	36.45.42.122(陕西-西安)	男	必须重视	了解很少	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影	有	有时会	是	没感觉	学习压力┋感情压力┋人际关系┋家庭问题┋经济问题	一般	很少	经常	经常	参加户外活动转移注意力┋倒头大睡，不去想任何事情┋一个人生闷气	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨	一种美好的经历，帮助我成长	考研	会有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询	如何和他人交往	与
14	2021/5/25 18:55:04	85秒	手机提交	直接访问	117.136.87.47(陕西-西安)	女	必须重视	了解很少	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋看相关电影	有	有时会	是	较为负面影响，会影响情绪	学习压力┋感情压力┋人际关系┋家庭问题┋经济问题┋考试考证┋就业压力	一般	很少	经常	较少	参加户外活动转移注意力┋倒头大睡，不去想任何事情┋找人倾述	以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	会有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	如何处理学习和工作	无
15	2021/5/25 18:55:14	52秒	手机提交	直接访问	123.139.135.225(陕西-西安)	女	必须重视	了解很多	阅读书刊┋跟朋友聊天时了解到┋听讲座	有	有时会	是	正面影响，会为学习带来动力	人际关系┋家庭问题	很强	偶尔	偶尔	经常	参加户外活动转移注意力┋通过暴饮暴食发泄不满情绪┋倒头大睡，不去想任何事情	压力过大，能够理解┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	考研	会有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询	情绪调节	(空)
16	2021/5/25 18:55:30	148秒	手机提交	直接访问	111.114.0.3(陕西-西安)	男	应该重视	了解一点	浏览网页┋跟朋友聊天时了解到┋听讲座┋看相关电影┋其他	不知道	有时会	是	正面影响，会为学习带来动力	学习压力┋感情压力┋人际关系┋家庭问题┋经济问题┋考试考证	很强	偶尔	经常	没有	参加户外活动转移注意力┋倒头大睡，不去想任何事情┋一个人生闷气┋找人倾述	非常鄙视自杀之人，枉费父母和社会的栽培┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	会有所担忧	设立心理咨询室	其他:	(空)
17	2021/5/25 18:56:10	138秒	手机提交	直接访问	113.143.195.228(陕西-西安)	女	必须重视	了解一点	浏览网页┋跟朋友聊天时了解到┋听讲座┋看相关电影	有	有时会	否	正面影响，会为学习带来动力	学习压力┋感情压力┋人际关系	一般	偶尔	经常	较少	参加户外活动转移注意力┋找人倾述	压力过大，能够理解┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	就业	会有所担忧	多举行心理讲座┋组织团体活动	如何处理学习和工作	学习
18	2021/5/25 18:56:50	66秒	手机提交	直接访问	123.139.61.79(陕西-咸阳)	女	没有必要	一点也不了解	浏览网页┋其他	不知道	从来不会	否	较为负面影响，会影响情绪	其他	很弱	没有	从来没有	没有	找人倾述┋无法排解低落情绪┋其他:	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋非常鄙视自杀之人，枉费父母和社会的栽培┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	就业	会有所担忧	其他:	其他:	(空)
19	2021/5/25 18:57:18	95秒	手机提交	直接访问	111.114.0.2(陕西-西安)	女	必须重视	了解一点	浏览网页┋看相关电影	不知道	有时会	是	没感觉	学习压力┋人际关系┋家庭问题┋经济问题┋考试考证┋就业压力	一般	很少	很少	有时	倒头大睡，不去想任何事情┋一个人生闷气┋无法排解低落情绪	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	考研	会有所担忧	多举行心理讲座	情绪调节	(空)
20	2021/5/25 18:57:20	38秒	手机提交	直接访问	117.136.87.60(陕西-西安)	男	必须重视	了解很多	浏览网页	有	经常会	是	正面影响，会为学习带来动力	学习压力	很强	经常	经常	经常	参加户外活动转移注意力	压力过大，能够理解	一种美好的经历，帮助我成长	还没想过	会有所担忧	设立心理咨询室┋其他:	如何处理学习和工作	你
21	2021/5/25 19:06:48	119秒	手机提交	直接访问	117.136.77.119(山东-济南)	女	必须重视	了解一点	浏览网页	没有	经常会	是	较为负面影响，会影响情绪	学习压力┋人际关系┋考试考证┋就业压力	很弱	偶尔	偶尔	有时	找人倾述	压力过大，能够理解┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	考研	会有所担忧	组织团体活动	如何和他人交往	(空)
22	2021/5/25 19:07:12	29秒	手机提交	直接访问	123.139.160.229(陕西-西安)	男	必须重视	了解很多	浏览网页┋看相关电影	有	经常会	是	正面影响，会为学习带来动力	学习压力┋人际关系	很强	经常	经常	经常	参加户外活动转移注意力	对引发事件发生的社会原因和学校的责任非常慷慨	一种美好的经历，帮助我成长	考研	会有所担忧	多举行心理讲座	如何处理学习和工作	(空)
23	2021/5/25 19:11:35	129秒	手机提交	直接访问	123.139.92.96(陕西-西安)	男	应该重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影	有	有时会	是	正面影响，会为学习带来动力	学习压力┋感情压力┋人际关系┋家庭问题┋经济问题┋考试考证┋就业压力	一般	很少	经常	没有	参加户外活动转移注意力┋一个人生闷气	以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	考研	充满信心	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	情绪调节	(空)
24	2021/5/25 19:17:10	147秒	手机提交	直接访问	117.136.87.23(陕西-西安)	女	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影	没有	经常会	是	没感觉	学习压力┋人际关系┋家庭问题┋经济问题┋考试考证┋其他	一般	很少	偶尔	较少	参加户外活动转移注意力┋通过暴饮暴食发泄不满情绪┋倒头大睡，不去想任何事情┋一个人生闷气	压力过大，能够理解┋社会应更多得关心大学生生活状况	只在乎曾经拥有，不在乎天长地久	考研	会有所担忧	设立心理咨询室┋网络心理咨询	情绪调节	(空)
25	2021/5/25 19:17:59	127秒	手机提交	直接访问	117.39.204.61(陕西-西安)	男	必须重视	了解一点	浏览网页┋阅读书刊┋听讲座	没有	经常会	是	较为负面影响，会影响情绪	学习压力┋经济问题┋考试考证┋就业压力	很弱	很少	偶尔	较少	一个人生闷气	压力过大，能够理解┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	还没想过	会有所担忧	多举行心理讲座┋网络心理咨询┋组织团体活动	情绪调节	就业压力和科研压力
